Kode #Nama Barang,Kode #,Nama Barang
200395KONTAINER PERFORATED,200395,KONTAINER PERFORATED
200397KONTAINER SOLID,200397,KONTAINER SOLID
200400LADIES STICKER,200400,LADIES STICKER
200412LOGGER,200412,LOGGER
200417MOUSE LAPTOP / PC,200417,MOUSE LAPTOP / PC
200421NOMER MEJA,200421,NOMER MEJA
200426PAPAN TULIS,200426,PAPAN TULIS
200433REGULATOR,200433,REGULATOR
200435SELANG GAS,200435,SELANG GAS
200438STEMPEL,200438,STEMPEL
200442KABEL TIES,200442,KABEL TIES
200446TEMPAT SAMPAH BESAR UK 80 LTR,200446,TEMPAT SAMPAH BESAR UK 80 LTR
200447TEMPAT SAMPAH KECIL UK 10 LTR,200447,TEMPAT SAMPAH KECIL UK 10 LTR
200449TEMPAT TIMER,200449,TEMPAT TIMER
200450TERMOMETER,200450,TERMOMETER
200451THERMOCOUPLE,200451,THERMOCOUPLE
200484PRINTER THERMALL,200484,PRINTER THERMALL
200496CASH DRAWER,200496,CASH DRAWER
200504KIPAS ANGIN,200504,KIPAS ANGIN
200550PRINTER IW 800,200550,PRINTER IW 800
200562UPS KENIKA 600 VA,200562,UPS KENIKA 600 VA
200583BLENDER,200583,BLENDER
200584CASH BOX,200584,CASH BOX
200586HAND DRAYER,200586,HAND DRAYER
200588KOMPOR GAS 2 TUNGKU,200588,KOMPOR GAS 2 TUNGKU
200590MESIN CUP SEALER,200590,MESIN CUP SEALER
200592TIMBANGAN 100 KG,200592,TIMBANGAN 100 KG
200593TIMBANGAN DIGITAL FORTUNO 30 KG,200593,TIMBANGAN DIGITAL FORTUNO 30 KG
200594TOOL BOX,200594,TOOL BOX
200595TROLLI CLEAR UP,200595,TROLLI CLEAR UP
200596TROLLI LOADING,200596,TROLLI LOADING
200599DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),200599,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH)
200600MOB BUCKET (ALAT PEL SET),200600,MOB BUCKET (ALAT PEL SET)
200602ALAT PEMADAM KEBAKARAN ( APAR ),200602,ALAT PEMADAM KEBAKARAN ( APAR )
200603FILLING KABINET,200603,FILLING KABINET
200604LOCKER SET,200604,LOCKER SET
200605PEMBATAS ANTRIAN,200605,PEMBATAS ANTRIAN
200609TERMOGUN,200609,TERMOGUN
200615SERAGAM BARU UK XXL,200615,SERAGAM BARU UK XXL
200629SERAGAM SCM,200629,SERAGAM SCM
200633TOPI CREW LAKI - LAKI,200633,TOPI CREW LAKI - LAKI
200634MONITOR,200634,MONITOR
200635AKRILIC PRINTER,200635,AKRILIC PRINTER
200636BILL HOLDER,200636,BILL HOLDER
200641PALLET HIJAU (FROZEN),200641,PALLET HIJAU (FROZEN)
200642PALLET BIRU (DRY),200642,PALLET BIRU (DRY)
200658CHLORINE,200658,CHLORINE
200662LS 40 A-1 ( LONG SHUN ),200662,LS 40 A-1 ( LONG SHUN )
200664TINTA CODDING,200664,TINTA CODDING
200676REGULATOR LOW PRESSURE,200676,REGULATOR LOW PRESSURE
200684SERAGAM BARU UK ALL SIZE,200684,SERAGAM BARU UK ALL SIZE
200693MASTER CARTON (MC),200693,MASTER CARTON (MC)
200701LAKBAN KARTON BESAR,200701,LAKBAN KARTON BESAR
200706CUP SEALER BESAR,200706,CUP SEALER BESAR
200707SUMPIT (V.20),200707,SUMPIT (V.20)
200708HAND GLOVE KARET - CP,200708,HAND GLOVE KARET - CP
200709STICKER THERMAL,200709,STICKER THERMAL
200714APAR POWDER 3KG,200714,APAR POWDER 3KG
200715APAR TIPE K 6KG,200715,APAR TIPE K 6KG
200717PUMP DISPENSER,200717,PUMP DISPENSER
200718DIGITAL CALIPER,200718,DIGITAL CALIPER
200719TIMBANGAN DIGITAL KECIL,200719,TIMBANGAN DIGITAL KECIL
200720PEMATIK KOMPOR,200720,PEMATIK KOMPOR
200721STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,200721,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL
200722TEMPAT SENDOK FELICIA JUMBO,200722,TEMPAT SENDOK FELICIA JUMBO
200725CADDY BAG,200725,CADDY BAG
200726TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),200726,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK)
200727TEMPAT SAMPAH 80L (THAWING ADONAN),200727,TEMPAT SAMPAH 80L (THAWING ADONAN)
